book_id,genre,name,author
3166,Self-Help,"Emotional First Aid: Healing Rejection, Guilt, Failure, and Other Everyday Hurts",Guy Winch Ph.D.
1720,"Crafts, Hobbies & Home",Collector's Guide to Vintage Televisions: Identification & Values,Bryan Durbal
2048,History,Ancient Mediterranean Civilizations: From Prehistory to 640 CE,Ralph W. Mathisen
4103,Comics & Graphic Novels,Latitude 59 Degrees North: Lady S. Vol. 2,Jean Van Hamme
2969,"Health, Fitness & Dieting",Dr. Dean Ornish's Program for Reversing Heart Disease,Dr. Dean Ornish
1113,Travel,Mungo Park the African Traveler,Kenneth Lupton
4327,Christian Books & Bibles,Hosea: The Heart and Holiness of God,G. Campbell Morgan
1195,"Cookbooks, Food & Wine",The Ultimate Rice Cooker Cookbook,Beth Hensperger
474,Travel,"Out on the Town, Travel Guide: Oklahoma City",Out on the Town Inc
2673,Business & Money,The Perfect Resume: Resumes That Work in the New Economy (Get a Job!),Dan Quillen
3786,Children's Books,King Bidgood's in the Bathtub,Audrey Wood
3309,Medical Books,Forensic Analytics: Methods and Techniques for Forensic Accounting Investigations,Mark Nigrini
4771,Computers & Technology,Fluid Simulation for Computer Graphics,Robert Bridson
2967,"Crafts, Hobbies & Home",New Crafts: Basketwork: 25 practical basket-making projects for every level of experience,Polly Pollock
831,Biographies & Memoirs,Jackie Robinson and the American Dilemma (Library of American Biography),John R.M. Wilson
4904,"Health, Fitness & Dieting",Dark Nights of the Soul: A Guide to Finding Your Way Through Life's Ordeals,Thomas Moore
1191,Teen & Young Adult,Nameless,Jennifer Jenkins
402,Politics & Social Sciences,The Consolation of Philosophy: Boethius,Richard H. Green
3062,Children's Books,Speed Receiver (Team Jake Maddox Sports Stories),Jake Maddox
910,Travel,"Fly Fishing The Henry's Fork (Greycliff River Series, Vol. 2)",Mike Lawson
3901,Law,"Property Law: Rules, Policies and Practices, 5th Edition",Joseph William Singer
3699,"Cookbooks, Food & Wine",The New Jewish Table: Modern Seasonal Recipes for Traditional Dishes,Todd Gray
1066,Sports & Outdoors,John Laskowski's Tales from the Hoosier Locker Room,John Laskowski
3943,Business & Money,"Case Studies in Finance: Managing for Corporate Value Creation (Mcgraw-Hill/Irwin Series in Finance, Insurance and Real Estate)",Robert Bruner
3284,"Mystery, Thriller & Suspense",Challenge The Widow-Maker And Other Stories Of People In Peril,Clark Howard
3465,Engineering & Transportation,Geographic Information Analysis,David O'Sullivan
914,Christian Books & Bibles,Vine's Complete Expository Dictionary of Old and New Testament Words,W. E. Vine
3114,Science & Math,"Hazardous Laboratory Chemicals Disposal Guide, Second Edition",Margaret-Ann Armour
3717,Literature & Fiction,The Sonnets and a Lover's Complaint (Hardcover Classics),William Shakespeare
